bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
408,Pécs,HU,0.5826906394711652,0.06076697623471377,-0.7269462947393334,-0.07344903263451107,12118,2547.8811745686467,198.00998,116.20172,3.8523328,0.16100594
409,Rudicica,RO,0.5578527597531936,-0.40279793208932113,-0.7145615027063359,0.6069437654185339,26518,3631.990052346494,173.73126,80.65263,2.3061666,0.6645088
410,Saint-Julien-en-Genevois,CH,0.2715172816809963,-0.09031669555713548,-0.5135605961379404,0.4157293033852231,41623,5952.376309716535,166.00853,141.40648,0.72859854,0.12971471
411,Roanne,FR,0.43809153285699504,-0.02937112976034439,-0.5160461350823926,0.09639705954928322,10766,1837.2056562716189,207.06061,82.48069,0.8550804,0.17186387
412,Limoges,FR,0.3930098500091502,0.15198009932127124,-0.710200944856294,-0.1832315449552893,18703,2924.4033813011533,195.58725,95.592834,0.6555375,0.146682
413,Ploiești,RO,0.5297318631426937,-0.22406160388237262,-0.5916942144713594,0.41430551135453475,9806,5623.995499638129,397.70624,91.15354,1.0349848,0.25452316
414,Ljubljana,SI,0.5707494418056028,-0.36030791619054536,-0.5492746246199895,0.6599539724782322,36485,3486.848398401787,152.7407,162.92189,1.3196828,0.081023194
415,Udine / Udin,IT,0.5719016287742636,-0.2357099329172533,-0.7496404494032817,0.6091237123210707,12908,2581.76487154934,149.22308,172.69073,0.82290536,0.034712363
416,Troian,RO,0.6181623027197335,-0.008140019395992598,-0.2768592304355134,0.25958718728758273,5198,6295.974906371825,140.5533,129.80583,4.0011077,0.06480351
417,Valea Voievozilor,RO,0.5655362975561348,0.06837294144075633,-0.5593599980628676,-0.004957925212731041,4033,5147.746398418729,289.5546,204.71439,1.7636622,0.04341189
418,Trento,IT,0.5004344117457906,-0.3277479014966061,-0.598034272242945,0.6876070417203096,14739,2786.483514768179,105.03433,210.2203,5.4700804,0.03841637
419,Lugano,CH,0.405336859500504,0.3319709453607728,-0.5473620062080518,-0.3068714597642326,1577,4897.181116259547,168.62535,73.87947,9.69965,0.12941626
420,Lugano,CH,0.405451806126775,-0.18420491530265343,-0.32124846778358157,0.34883155332232585,11298,2755.348045054236,105.77627,109.76679,9.737198,0.1239509
421,Pordenone / Pordenon,IT,0.5671881449997741,-0.09772972232806058,-0.6236362647347954,0.6222626585446345,10813,2000.9336965990535,145.50188,143.3291,1.9672726,0.07998116
