bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
159,Tilburg,NL,33597,0.51,0.55,0.50,0.41,3682.85,0.50,18.57,1.03,0.76,22.08,57.56,0.00,0.35
160,Bergen op Zoom,NL,10306,0.48,0.55,0.47,0.45,2613.56,0.50,15.92,0.93,0.43,22.90,59.82,0.00,0.33
163,Brackel,DE,12288,0.37,0.37,0.45,0.46,1879.63,0.50,18.70,1.86,1.30,18.19,59.95,0.06,0.29
165,Göttingen,DE,23816,0.45,0.49,0.55,0.38,2649.10,0.50,18.73,0.84,0.39,20.85,59.19,0.04,0.32
167,Eindhoven,NL,46862,0.48,0.51,0.55,0.43,3244.72,0.50,18.60,0.99,0.69,22.09,57.63,0.00,0.34
171,Oostende,BE,11225,0.50,0.53,0.47,0.22,3713.05,0.50,19.14,2.21,2.02,20.64,55.99,0.62,0.36
172,Antwerpen,BE,8201,0.39,0.39,0.44,0.44,1915.68,0.50,18.67,1.85,2.09,16.53,60.86,0.28,0.30
173,Venlo,NL,16042,0.45,0.45,0.44,0.45,2569.30,0.50,18.91,1.07,1.31,18.53,60.17,0.00,0.32
174,Duisburg-Mitte,DE,21045,0.40,0.41,0.44,0.29,3067.83,0.50,20.17,0.89,1.10,19.81,58.02,0.21,0.31
176,Brugge,BE,16755,0.49,0.52,0.41,0.40,2208.44,0.50,18.79,0.64,0.54,21.49,58.54,0.16,0.34
179,Krefeld-West,DE,23390,0.44,0.43,0.46,0.26,3158.17,0.50,19.91,1.99,1.66,19.21,57.23,0.00,0.33
180,Kielce,PL,28072,0.49,0.54,0.47,0.40,4550.81,0.50,12.96,1.75,1.01,21.49,62.80,0.00,0.32
182,Vellmar,DE,29729,0.44,0.44,0.51,0.35,2608.84,0.50,19.49,0.99,1.01,20.49,58.02,0.00,0.32
183,Wrocław,PL,84720,0.49,0.54,0.41,0.32,4850.16,0.50,18.02,2.42,1.11,19.85,58.60,0.01,0.35
184,Antwerpen,BE,45577,0.52,0.56,0.50,0.29,4905.47,0.50,19.04,1.09,2.14,20.12,57.60,0.04,0.36
190,Stadtbezirk 1,DE,60697,0.47,0.51,0.51,0.26,3968.09,0.50,18.61,1.67,1.26,20.13,58.33,0.18,0.34
192,Neuss,DE,19420,0.41,0.42,0.44,0.35,2559.82,0.50,17.67,1.65,1.47,18.11,61.10,0.08,0.30
193,Nord,DE,27248,0.43,0.45,0.48,0.34,2846.26,0.50,18.97,0.86,1.02,20.27,58.89,0.03,0.31
194,Gent,BE,32208,0.49,0.53,0.44,0.33,3233.92,0.50,20.68,0.48,0.70,21.74,56.39,0.00,0.35
195,Częstochowa,PL,22807,0.52,0.56,0.33,0.40,4314.82,0.50,16.84,1.40,0.63,19.99,61.15,0.00,0.35
196,Hilden,DE,40603,0.42,0.42,0.43,0.40,2649.63,0.50,17.97,1.81,2.14,19.79,58.29,0.14,0.31
197,Mechelen,BE,10672,0.43,0.42,0.40,0.31,2514.74,0.50,21.93,1.93,1.41,18.79,55.95,0.00,0.33
198,Monheim am Rhein,DE,19829,0.41,0.42,0.45,0.37,2850.98,0.50,17.92,0.61,2.06,19.03,60.38,0.05,0.30
199,Cotta,DE,72119,0.48,0.50,0.45,0.36,3871.59,0.50,16.50,1.69,1.30,20.16,60.35,0.00,0.33
200,Stadtbezirk III,DE,26814,0.38,0.38,0.49,0.38,2306.98,0.50,18.35,0.66,1.43,20.17,59.38,0.01,0.29
201,Halle-Vilvoorde,BE,12165,0.37,0.35,0.43,0.25,1968.95,0.50,20.02,2.01,1.90,15.77,60.29,0.90,0.30
202,Kortrijk,BE,15371,0.48,0.47,0.44,0.35,2040.46,0.50,18.41,1.81,2.46,17.81,59.51,0.56,0.34
203,Sittard,NL,17011,0.44,0.46,0.52,0.46,1871.29,0.50,17.37,2.24,0.65,20.29,59.45,0.00,0.32
205,Leuven,BE,13103,0.47,0.48,0.43,0.40,2725.89,0.50,22.21,0.56,0.60,19.26,57.38,0.00,0.35
206,Erfurt,DE,24878,0.45,0.46,0.51,0.30,3677.12,0.50,20.99,0.68,0.71,20.68,56.93,0.00,0.33
207,Bergisch Gladbach,DE,98627,0.45,0.47,0.48,0.30,3870.24,0.50,19.80,0.65,1.73,20.28,57.54,0.11,0.33
209,Heerlen,NL,33805,0.44,0.47,0.52,0.47,2160.08,0.50,16.21,2.01,1.85,19.86,60.08,0.06,0.31
210,Opole,PL,10781,0.48,0.53,0.41,0.42,3366.03,0.50,16.52,0.73,1.01,20.93,60.81,0.00,0.33
212,Jena-Zentrum,DE,14672,0.37,0.36,0.42,0.38,2615.42,0.50,22.04,0.38,1.27,22.25,54.06,0.00,0.30
214,Maastricht,NL,17720,0.48,0.49,0.51,0.40,3120.40,0.50,18.15,1.30,1.61,20.24,58.71,0.00,0.34
215,Herzogenrath,DE,10611,0.40,0.39,0.44,0.39,2143.70,0.50,19.69,1.47,0.83,19.73,58.28,0.37,0.31
218,Düren,DE,8904,0.43,0.44,0.46,0.33,2539.02,0.50,18.22,1.62,1.65,19.20,59.31,0.03,0.31
219,Chemnitz,DE,29082,0.47,0.50,0.44,0.37,2969.43,0.50,18.77,1.79,0.87,19.81,58.76,0.04,0.34
220,Aachen,DE,28478,0.43,0.43,0.41,0.24,3199.97,0.50,19.67,1.04,1.37,21.31,56.62,0.04,0.32
223,Stadtbezirk Bonn,DE,76628,0.44,0.46,0.45,0.34,2753.29,0.50,17.13,1.82,1.91,19.80,59.33,0.29,0.31
226,Rzeszów,PL,28013,0.47,0.50,0.46,0.34,3458.32,0.50,18.97,1.02,0.88,21.07,58.06,0.00,0.34
232,Gießen,DE,14823,0.42,0.44,0.53,0.40,2493.99,0.50,20.41,0.96,1.34,20.99,56.29,0.06,0.32
235,Namur,BE,10588,0.41,0.40,0.34,0.37,2253.34,0.50,21.34,1.48,2.05,19.29,55.85,0.43,0.32
242,Plauen,DE,9763,0.38,0.39,0.45,0.30,2239.88,0.50,19.25,0.57,0.58,21.16,58.43,0.00,0.29
243,Arras,FR,13721,0.47,0.49,0.47,0.37,2307.38,0.50,18.32,0.98,1.76,19.32,59.61,0.00,0.33
245,Kraków,PL,95755,0.50,0.54,0.44,0.36,5368.70,0.50,14.03,1.80,1.38,21.24,61.55,0.00,0.33
246,Lahnstein,DE,21275,0.40,0.39,0.35,0.34,2328.86,0.50,18.54,1.02,2.14,19.20,59.10,0.01,0.30
247,Hradec Králové,CZ,13111,0.45,0.47,0.45,0.39,2703.19,0.50,20.59,0.74,0.46,21.26,56.95,0.00,0.33
249,Cherbourg,FR,12857,0.42,0.44,0.50,0.50,inf,0.50,30.00,0.00,31.52,0.00,38.48,18.48,0.36
251,Pardubice,CZ,14610,0.48,0.51,0.44,0.47,3399.85,0.50,17.53,0.42,1.60,21.38,59.08,0.04,0.33
252,Bielsko-Biała,PL,20271,0.46,0.50,0.46,0.35,3336.31,0.50,17.53,2.31,0.60,19.17,60.39,0.00,0.33
254,Ostrava,CZ,10773,0.50,0.54,0.49,0.36,2768.05,0.50,15.46,1.74,1.23,19.99,61.58,0.02,0.33
256,Nowy Sącz,PL,8382,0.45,0.48,0.45,0.33,2852.73,0.50,16.03,1.31,1.22,20.68,60.76,0.00,0.31
257,Hanau,DE,13253,0.39,0.40,0.46,0.30,2167.45,0.50,18.69,0.86,1.62,19.27,59.56,0.02,0.29
258,Innenstadt 1,DE,92731,0.46,0.50,0.40,0.29,4248.20,0.50,18.12,1.33,1.44,19.57,59.54,0.08,0.33
259,Praha,CZ,126921,0.53,0.57,0.42,0.30,4978.26,0.50,16.34,1.86,1.19,20.00,60.61,0.00,0.35
262,Biebrich,DE,24056,0.43,0.46,0.52,0.22,3539.58,0.50,18.90,1.04,1.32,21.11,57.64,0.03,0.32
263,Schweinfurt,DE,15096,0.38,0.38,0.50,0.33,1945.29,0.50,19.40,2.20,0.59,18.50,59.31,0.62,0.30
264,Altstadt,DE,32775,0.45,0.46,0.43,0.26,3535.15,0.50,19.91,0.54,1.04,20.40,58.12,0.00,0.33
266,Aschaffenburg,DE,9107,0.43,0.45,0.54,0.34,2393.29,0.50,20.95,0.53,0.75,23.07,54.71,0.00,0.32
267,"Gartenstadt, Wendelhöfen",DE,13096,0.43,0.44,0.46,0.43,2197.77,0.50,22.30,0.48,0.37,22.40,54.45,0.00,0.33
269,Bamberg,DE,13548,0.43,0.45,0.49,0.39,2181.87,0.50,19.46,0.83,1.48,17.77,60.47,0.00,0.32
270,Darmstadt-Nord,DE,19932,0.43,0.46,0.50,0.32,3058.41,0.50,21.84,0.53,0.49,20.81,56.34,0.00,0.33
271,Olomouc,CZ,14636,0.52,0.56,0.45,0.34,3767.08,0.50,15.45,1.62,1.33,20.60,61.00,0.00,0.34
272,Plzeň,CZ,17136,0.47,0.49,0.49,0.37,3008.23,0.50,16.59,1.45,1.48,18.59,61.89,0.01,0.33
273,Mitte-Gartenfeld,DE,15624,0.40,0.42,0.45,0.33,2108.02,0.50,19.43,0.93,0.66,20.69,58.30,0.00,0.30
274,Höchberg,DE,23449,0.43,0.44,0.45,0.29,2573.54,0.50,18.24,1.25,1.75,20.93,57.83,0.53,0.31
276,Alzingen,LU,24607,0.41,0.42,0.42,0.23,2533.89,0.50,18.65,0.49,1.70,21.37,57.79,0.07,0.30
277,Caen,FR,30331,0.48,0.50,0.47,0.34,2897.64,0.50,18.35,1.52,1.84,17.35,60.95,0.12,0.34
278,Uttenreuth (VGem),DE,21599,0.41,0.44,0.50,0.39,2461.31,0.50,19.44,1.12,0.66,20.35,58.44,0.07,0.31
279,Žilina,SK,13582,0.48,0.53,0.41,0.34,3937.40,0.50,17.70,0.41,1.35,22.17,58.36,0.00,0.33
281,Innenstadt/Jungbusch,DE,60796,0.42,0.43,0.35,0.27,3559.63,0.50,20.17,1.03,1.24,20.15,57.41,0.05,0.32
284,Zirndorf,DE,69011,0.47,0.48,0.42,0.27,3838.98,0.50,19.38,1.16,1.69,19.12,58.65,0.00,0.34
286,Brno,CZ,44612,0.46,0.50,0.46,0.34,3527.21,0.50,19.52,1.59,0.83,20.76,57.30,0.37,0.34
287,Altstadt,DE,20830,0.45,0.51,0.48,0.35,3172.04,0.50,20.06,0.05,0.36,21.71,57.82,0.00,0.33
291,Košice,SK,26137,0.51,0.58,0.44,0.39,4995.02,0.50,15.69,0.65,1.45,21.64,60.58,0.00,0.34
292,Saarbrücken,DE,22495,0.42,0.41,0.35,0.36,2582.63,0.50,20.79,1.51,1.22,18.74,57.74,0.00,0.32
296,Metz,FR,24360,0.43,0.45,0.48,0.35,3015.72,0.50,18.85,2.22,2.31,19.31,57.31,0.08,0.32
297,Böckingen,DE,18075,0.43,0.43,0.41,0.32,2772.70,0.50,19.38,0.60,0.64,20.97,58.42,0.00,0.31
