label,country,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count,business_and_services_per_1000_pop,business_and_services_per_km2,active_life_per_1000_pop,active_life_per_km2,arts_and_entertainment_per_1000_pop,arts_and_entertainment_per_km2,public_services_per_1000_pop,public_services_per_km2,retail_per_1000_pop,retail_per_km2,health_and_medical_per_1000_pop,health_and_medical_per_km2,eat_and_drink_per_1000_pop,eat_and_drink_per_km2,education_per_1000_pop,education_per_km2,attractions_and_activities_per_1000_pop,attractions_and_activities_per_km2,religious_per_1000_pop,religious_per_km2,accommodation_per_1000_pop,accommodation_per_km2
la Plana Alta,ES,628,33.539647999683524,150460.79466809583,2547,227,155,237,1488,473,908,314,102,68,45,16.927997792504506,75.93997408750484,1.508698664663731,6.768109194292735,1.0301686917307413,4.621396145882705,1.575161160904424,7.066263784349684,9.889619440615117,44.36540300047396,3.1436760721847787,14.102712109693673,6.034794658654924,27.07243677717094,2.0869223819577605,9.36205412778819,0.6779174616550685,3.0411768185808765,0.4519449744367124,2.027451212387251,0.29908123308311846,1.341695655256269
Λάρισα,GR,629,48.223605651653216,147702.2808863,1650,203,94,147,1613,389,729,346,79,44,37,11.171120649586696,34.21560826286813,1.3743863587067267,4.209556652946806,0.6364153582188784,1.949252834369457,0.9952452942359055,3.0482996452373423,10.920616731989902,33.44834916848866,2.633676322841954,8.066588857124668,4.935604214271939,15.117077832503556,2.3425501483375735,7.1749093690620445,0.5348597159499083,1.638201850161565,0.2978965506556452,0.9124162203431501,0.2505039175967926,0.7672590943794672
Setúbal (São Sebastião),PT,630,31.76964701092216,92311.08705459631,1386,115,45,134,698,194,766,140,94,51,83,15.01444782228885,43.62654704735951,1.2457875177223792,3.6198072946943314,0.4874820721522354,1.4164463327064776,1.4516132815199898,4.217862412948177,7.5613885858280065,21.97065644953603,2.10158937772297,6.106457523223481,8.298028161524718,24.111064241181374,1.516610891140288,4.406721923975708,1.018295884051336,2.9587990060979754,0.5524796817725335,1.605305843734008,0.8991335997474563,2.6125565692141697
Tierra de Badajoz,ES,631,42.63305753607673,128059.98266891274,1978,178,76,197,1087,383,629,266,78,66,40,15.445886831907016,46.39592171699595,1.3899736380583665,4.175163834997613,0.593471890406943,1.7826542216843742,1.5383416106601022,4.6208273904187065,8.488209800951935,25.496646565406774,2.9907859740244627,8.983639038225201,4.911760777183779,14.753809282098308,2.0771516164243007,6.239289775895309,0.6090895717334415,1.8295661748865946,0.5153834837744505,1.5480944556732723,0.31235362652997,0.9382390640444075
Mérida,ES,632,33.49662633128773,58288.933209683644,905,71,50,119,548,152,343,111,66,27,70,15.52610332984531,27.017646226500105,1.2180699849933887,2.1196164442889587,0.8577957640798514,1.4926876368232103,2.041553918510046,3.5525965756392406,9.40144157431517,16.359856499582385,2.6076991228027477,4.53777041594256,5.88447894158778,10.239837188607222,1.9043065962572698,3.3137665537475267,1.1322904085854038,1.9703476806066376,0.4632097126031197,0.8060513238845336,1.200914069711792,2.0897626915524943
Κατσικάς,GR,633,49.86438336517059,94891.97250977586,1131,154,106,128,1020,277,802,245,128,35,159,11.918816419202196,22.681519827837356,1.6228980800682036,3.0883767051166693,1.117059717449543,2.1257657840413438,1.3489023003164289,2.566962456200868,10.749065205646543,20.455482072850668,2.919108884278522,5.555067190372191,8.451715975420125,16.083624139633564,2.581883309199415,4.913326576321974,1.3489023003164289,2.566962456200868,0.36884047274277354,0.7019037966174249,1.675589576174314,3.188648676062016
Μελισσάτικα,GR,634,38.31701518804617,115527.36045743784,1225,164,85,114,1162,250,777,288,120,49,106,10.603548762384387,31.970131128119956,1.4195771404335016,4.2800828612340185,0.7357564447368758,2.2183356292981196,0.9867792317647511,2.9751795498821836,10.058223397461761,30.325952955816643,2.1639895433437526,6.524516556759175,6.725679500712383,20.278197458407515,2.4929159539320027,7.516243073386569,1.0387149808050014,3.1317679472444038,0.4241419504953755,1.2788052451247982,0.9175315663777511,2.76639502006589
el Camp de Morvedre,ES,635,29.676079204472476,51972.526060044875,608,59,43,52,387,116,324,69,53,14,23,11.698488530220095,20.487881697942377,1.1352151698733317,1.9881332568726977,0.8273602085517502,1.4489784753478983,1.0005286242951397,1.752253039955598,7.446241876965752,13.040806278131084,2.2319484695814658,3.9088721660547954,6.234062966762025,10.917884325877187,1.3276245206993202,2.3251049953256975,1.0197695593777385,1.785950213800898,0.26937309115638375,0.47176043383419947,0.44254150689977334,0.7750349984418992
Ciudad Real,ES,636,28.49678460134419,74486.21328394549,1111,88,59,118,647,227,358,198,45,42,34,14.915511891641044,38.986854676495476,1.1814266844864194,3.0880676971481567,0.792092890735213,2.0704090242243325,1.584185781470426,4.140818048448665,8.686171191621742,22.70431590971429,3.04754383384565,7.965810991507177,4.8062585573424785,12.562820858852728,2.6582100400944437,6.948152318583353,0.6041386454760099,1.579125526950762,0.5638627357776093,1.4738504918207112,0.4564603099152075,1.1931170648072424
València,ES,637,231.51882906765906,1405855.358377146,19683,1742,1178,1831,11517,3397,7978,2530,1216,542,734,14.000729081205863,85.01684324883935,1.2391032901214558,7.52422602954215,0.8379240388995838,5.088139071642166,1.3024099450128506,7.908644006941261,8.19216566723812,49.7454139966917,2.4163225468097504,14.672672687918876,5.674836996893785,34.459400266180985,1.7996161446654897,10.927836885615177,0.8649538466060219,5.252272590082236,0.38553041518130254,2.3410622893294173,0.522102075171727,3.170368487763455
